PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,
Jeff Teague (10005424),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Klay Thompson (10005404),Paul George (10005395),Dario Saric (10005412),,1. Locate the player you want to select in the list below ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Paul George (10005395),Doug McDermott (10005614),,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,
Jeff Teague (10005424),Marcus Smart (10005491),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Kentavious Caldwell-Pope (10005466),Andrew Wiggins (10005439),Russell Westbrook (10005340),,3. Paste the ID into the roster position desired ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Paul George (10005395),Jae Crowder (10005653),,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,
Frank Ntilikina (10005579),Kentavious Caldwell-Pope (10005466),Carmelo Anthony (10005449),Julius Randle (10005487),Dario Saric (10005412),Klay Thompson (10005404),Paul George (10005395),Russell Westbrook (10005340),,5. You can create up to 500 lineups per file ,,,,,,,
Russell Westbrook (10005340),Marcus Smart (10005491),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Kentavious Caldwell-Pope (10005466),Jayson Tatum (10005453),Klay Thompson (10005404),,,,,,,,,
Jeff Teague (10005424),Marcus Smart (10005491),Carmelo Anthony (10005449),Julius Randle (10005487),Karl-Anthony Towns (10005362),Klay Thompson (10005404),Paul George (10005395),Dario Saric (10005412),,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
Frank Ntilikina (10005579),Klay Thompson (10005404),Paul George (10005395),Carmelo Anthony (10005449),Julius Randle (10005487),Jeff Teague (10005424),Jayson Tatum (10005453),Russell Westbrook (10005340),,PG/SG,James Harden (10005332),James Harden,10005332,PG,11100,HOU@OKC 12/25/2017 08:00PM ET,HOU
Frank Ntilikina (10005579),Marcus Smart (10005491),Carmelo Anthony (10005449),Daniel Theis (10005663),Karl-Anthony Towns (10005362),Russell Westbrook (10005340),Andrew Wiggins (10005439),Paul George (10005395),,SF/PF,LeBron James (10005336),LeBron James,10005336,SF,11000,CLE@GS 12/25/2017 03:00PM ET,CLE
Jeff Teague (10005424),Marcus Smart (10005491),Carmelo Anthony (10005449),Dario Saric (10005412),Karl-Anthony Towns (10005362),Kentavious Caldwell-Pope (10005466),Paul George (10005395),Klay Thompson (10005404),,PG,Russell Westbrook (10005340),Russell Westbrook,10005340,PG,10900,HOU@OKC 12/25/2017 08:00PM ET,OKC
